98.4,122.7,67.3,145.2,88.5,136.1,101.9,74.2,149.8,55.6,113.4,129.7,82.3,94.6,148.3,77.5,139.2,64.8,120.1,91.2
134.6,79.1,102.3,58.9,147.8,96.4,128.5,115.2,70.3,140.7,86.9,150.0,63.7,137.4,109.2,124.6,75.8,143.5,92.7,83.5
71.4,142.3,119.5,89.2,133.6,105.8,60.1,149.3,128.9,77.2,95.4,138.7,114.6,69.3,146.2,81.7,126.5,103.8,56.4,141.9
150.0,63.9,87.4,132.8,107.6,97.3,74.5,119.2,143.9,68.7,131.5,59.2,145.7,124.3,88.9,113.8,79.6,138.2,102.5,94.1
66.8,147.4,122.1,93.5,76.2,132.9,118.3,85.7,140.6,59.9,150.0,105.3,97.6,128.4,73.1,144.8,111.7,90.5,135.2,82.4
139.5,84.3,113.2,100.6,62.7,149.7,127.4,78.9,134.8,106.2,71.6,95.9,148.3,61.3,141.5,119.2,86.7,130.4,75.2,150.0
92.8,125.4,68.9,137.6,101.3,79.5,146.2,118.7,57.4,143.1,99.8,130.9,84.2,122.6,107.3,74.9,139.8,66.1,95.4,148.7
118.2,73.5,142.7,89.1,131.4,63.9,98.6,147.8,108.9,75.3,139.5,85.7,125.3,56.8,150.0,104.2,77.6,136.7,92.3,121.4
77.9,149.3,104.7,61.2,135.9,119.5,90.4,142.6,68.3,130.8,86.1,150.0,112.9,74.7,147.5,100.2,93.6,128.4,59.3,137.2
130.5,81.7,96.2,146.8,69.9,124.3,113.7,88.5,150.0,101.4,72.8,139.2,64.5,133.6,118.9,95.1,148.7,82.9,122.4,75.6
62.3,141.2,129.8,76.5,99.4,138.7,85.6,147.9,114.1,67.8,104.9,150.0,93.2,120.6,73.4,135.8,110.7,83.2,145.3,96.7
148.2,87.5,72.4,133.9,110.3,69.1,128.6,99.2,142.5,79.8,106.7,61.4,137.5,121.8,90.1,149.6,75.9,132.1,84.6,150.0
95.7,138.3,111.9,80.2,149.1,54.8,126.7,73.5,144.6,98.3,67.2,132.4,121.5,88.6,150.0,102.1,79.4,143.8,116.2,91.5
83.4,125.9,144.7,70.1,114.5,96.8,135.2,59.9,149.8,106.3,77.5,140.1,88.9,121.3,63.7,128.4,97.2,150.0,118.6,79.3
150.0,69.7,97.5,132.8,84.6,143.1,110.9,78.2,136.5,90.3,124.6,101.7,58.4,147.9,112.2,76.1,139.8,93.4,129.5,65.8
101.6,142.8,74.3,129.7,86.9,150.0,113.4,67.5,138.2,95.1,79.3,131.6,120.7,84.2,146.9,92.5,108.3,58.7,150.0,122.4
88.5,121.9,149.2,55.8,127.6,99.1,73.4,140.5,116.8,82.7,134.3,95.9,150.0,108.2,68.1,145.6,113.9,77.2,132.8,90.6
78.6,147.5,103.1,135.8,69.2,111.7,96.4,149.3,84.9,126.5,58.3,140.2,117.4,91.8,132.7,75.5,150.0,101.2,128.3,62.9
135.4,89.7,66.2,150.0,123.1,74.8,142.6,105.3,80.9,138.1,97.5,63.4,149.2,114.5,71.3,127.8,86.4,120.9,55.7,146.8
92.3,108.9,77.4,137.5,84.1,146.7,100.6,68.9,149.8,123.4,71.5,135.2,89.7,150.0,104.8,61.9,129.1,96.3,80.5,143.2
