1,,500050.00,3100050.00,120.5
2,,500120.00,3100120.00,110.2
3,,500200.50,3100250.80,105.0
4,,500310.20,3100300.10,98.3
5,,500430.60,3100450.90,87.6
6,,500560.80,3100520.40,92.4
7,,500680.00,3100680.30,105.8
8,,500750.70,3100750.00,115.2
9,,500820.40,3100880.60,125.0
10,,500930.00,3100950.20,118.7
11,,501000.00,3100000.00,80.0
12,,500900.00,3100020.00,70.5
13,,500780.00,3100100.00,90.0
14,,500660.00,3100150.00,100.3
15,,500540.00,3100220.00,95.6
16,,500420.00,3100350.00,102.1
17,,500300.00,3100450.00,88.9
18,,500180.00,3100600.00,76.4
19,,500060.00,3100800.00,112.3
20,,500250.00,3100920.00,135.6
